"","PMID","title","Publication.Year","relevent","dur_trial","reason_exclude","Comments","short_dur","long_dur","fu_period"
"1060",22952580,"Early-onset ventilator-associated pneumonia in adults randomized clinical trial: comparison of 8 versus 15 days of antibiotic treatment",2012,1,1,"","Resistant bacteria, n(%) 15 days 10 (45.5) 8 days 18 (39.2) p = 0.76","8 days","15 days","21 days"
"1061",23010339,"A pilot randomised controlled trial in intensive care patients comparing 7 days' treatment with empirical antibiotics with 2 days' treatment for hospital-acquired infection of unknown origin",2012,0,1,"Resistance during f/u not included","",NA,NA,NA
"1062",23018904,"Ciprofloxacin dry powder for inhalation in non-cystic fibrosis bronchiectasis: A phase II randomised study",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1063",23085743,"Efficacy and safety of intravenous daptomycin in Japanese patients with skin and soft tissue infections",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1064",23102084,"A prospective randomized study to assess the optimal duration of intravenous antimicrobial prophylaxis in elective gastric cancer surgery",2012,0,1,"Resistance during f/u not included","Cultures were obtained from the remote-infection sites in 6 patients. The bacteria isolated were methicillin-resistant Staphylococcus aureus (1 in the single-dose group, 1 in the multiple-dose group), Pseudomonas aeruginosa (1 in the multiple-dose group),","1 dose","3 days","30 days"
"1065",23135343,"Safety, efficacy and convenience of colistimethate sodium dry powder for inhalation (Colobreathe DPI) in patients with cystic fibrosis: a randomised study",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1066",23153410,"Clinical impact of unsolicited post-prescription antibiotic review in surgical and medical wards: a randomized controlled trial",2013,1,1,"","To evaluate the potential ecological impact of the intervention we assessed the rate of infection and/or colonization of patients with multidrug resistant bacteria (meticillin-resistant Staphylococcus aureus and expanded spectrum _lactamase-producing ente","6","7",""
"1067",23153963,"Randomised clinical trial of moxifloxacin versus ertapenem in complicated intra-abdominal infections: Results of the PROMISE study",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1068",23265995,"Amoxicillin for acute lower-respiratory-tract infection in primary care when pneumonia is not suspected: a 12-country, randomised, placebo-controlled trial",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1069",23319889,"Comparison of infection and urosepsis rates of ciprofloxacin and ceftriaxone prophylaxis before percutaneous nephrolithotomy: a prospective and randomised study",2012,0,1,"Resistance during f/u not included","",NA,NA,NA
"1070",23345574,"Prospective evaluation of respiratory exacerbations in children with cystic fibrosis from newborn screening to 5 years of age",2013,0,0,"Study design (not RCT)","",NA,NA,NA
"1071",23391714,"Comparative study of the efficacy and safety of ceftazidime/avibactam plus metronidazole versus meropenem in the treatment of complicated intra-abdominal infections in hospitalized adults: results of a randomized, double-blind, Phase II trial",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1072",23415776,"Evaluation of moxifloxacin 0.5% in treatment of nonperforated bacterial corneal ulcers: A randomized controlled trial",2013,0,0,"Intervention (not antibiotics or duration)","topical",NA,NA,NA
"1073",23422913,"Phase II clinical study of BC-3781, a pleuromutilin antibiotic, in treatment of patients with acute bacterial skin and skin structure infections",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1074",23423417,"Clinical outcomes associated with procalcitonin algorithms to guide antibiotic therapy in respiratory tract infections",2013,0,0,"Study design (not RCT)","Review",NA,NA,NA
"1075",23457080,"Clinical trial: Comparative effectiveness of cephalexin plus trimethoprim-sulfamethoxazole versus cephalexin alone for treatment of uncomplicated cellulitis: A randomized controlled trial",2013,1,1,"","The secondary outcome was the association of nasal MRSA colonization at enrollment with treatment response. Nasal colonization data were available for 142 of 146 (97%). Of these, 7 (4.9%) were colonized with MRSA, and this was not associated with response",NA,NA,NA
"1076",23511031,"Ciprofloxacin for the prevention of postoperative recurrence in patients with crohn's disease: A randomized, double-blind, placebo-controlled pilot study",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1077",23590389,"Stop Antibiotics on guidance of Procalcitonin Study (SAPS): a randomised prospective multicenter investigator-initiated trial to analyse whether daily measurements of procalcitonin versus a standard-of-care approach can safely shorten antibiotic duration in intensive care unit patients--calculated sample size: 1816 patients",2013,NA,NA,NA,NA,NA,NA,NA
"1078",23611930,"Antibiotic prophylaxis for urinary tract infection after midurethral sling: A randomized controlled trial",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1079",23631512,"T.E.A. Study: three-day ertapenem versus three-day Ampicillin-Sulbactam",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1080",23636182,"The use of erythromycin and colistin-loaded cement in total knee arthroplasty does not reduce the incidence of infection : A prospective randomized study in 3000 knees",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1081",23714268,"Effects of long-term azithromycin therapy on airway oxidative stress markers in non-cystic fibrosis bronchiectasis",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1082",23742102,"A prospective randomised comparative parallel study of amniotic membrane wound graft in the management of diabetic foot ulcers",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1083",23936304,"Procalcitonin guidance to reduce antibiotic treatment of lower respiratory tract infection in children and adolescents (ProPAED): a randomized controlled trial",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1084",23989106,"Short-course antibiotic treatment for community-acquired alveolar pneumonia in ambulatory children: a double-blind, randomized, placebo-controlled trial",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1085",23990341,"Safety and efficacy of daptomycin as first-line treatment for complicated skin and soft tissue infections in elderly patients: an open-label, multicentre, randomized phase IIIb trial",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1086",24022431,"Acute cholecystitis: Early versus delayed cholecystectomy, a multicenter randomized trial (ACDC Study, NCT00447304)",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1087",24035770,"Short versus long course of antibiotics for catheter-associated urinary tract infections in patients with spinal cord injury: A randomized controlled noninferiority trial",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1088",24086334,"A single dose of azithromycin does not improve clinical outcomes of children hospitalised with bronchiolitis: a randomised, placebo-controlled trial",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1089",24097128,"Efficacy of anti-inflammatory or antibiotic treatment in patients with non-complicated acute bronchitis and discoloured sputum: randomised placebo controlled trial",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1090",24114306,"Clinical score and rapid antigen detection test to guide antibiotic use for sore throats: randomised controlled trial of PRISM (primary care streptococcal management)",2013,0,1,"Resistance during f/u not included","",NA,NA,NA
"1091",24135482,"Prospective randomized comparison of retroperitoneoscopic pyelolithotomy versus percutaneous nephrolithotomy for solitary large pelvic kidney stones",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1092",24274912,"Eradication of carbapenem-resistant Enterobacteriaceae gastrointestinal colonization with nonabsorbable oral antibiotic treatment: A prospective controlled trial",2013,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1093",24439136,"Phase 3 study comparing tigecycline and ertapenem in patients with diabetic foot infections with and without osteomyelitis",2014,1,1,"","Three subjects in the tigecycline group of the primary study and 1 subject in the tigecycline group of the osteomyelitis substudy had microorganisms with decreased susceptibility to tigecycline during therapy. Specifically, S. epidermidis (0.06–1.0 mg/L),",NA,NA,NA
"1094",24461664,"Long-term azithromycin for Indigenous children with non-cystic-fibrosis bronchiectasis or chronic suppurative lung disease (Bronchiectasis Intervention Study): a multicentre, double-blind, randomised controlled trial",2013,1,1,"","Overall, the odds of carrying azithromycin-resistant bacteria were seven times greater in the azithromycin group than in the control group.","0","once per week","24 months"
"1095",24463669,"Oral antibiotics to prevent postoperative urinary tract infection: a randomized controlled trial",2014,1,1,"","On susceptibility testing, only one of nine (11%) urine cultures showed resistance to nitrofurantoin with five (56%) specimens being susceptible and three (33%) being inconclusive. Did not say which group this patient is in","0","Duration of indwelling","3 weeks after surgery"
"1096",24549966,"Treatment of distal tibial shaft fractures by three different surgical methods: A randomized, prospective study",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1097",24554302,"Prulifloxacin vs fosfomycin for prophylaxis in female patients with recurrent UTIs: a non-inferiority trial",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1098",24561207,"Prospective randomized trial of ACUSEAL versus vascu-guard patching in carotid endarterectomy",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1099",24567620,"Amoxicillin for acute lower respiratory tract infection in primary care: subgroup analysis of potential high-risk groups",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1100",24574052,"Clinical and microbiological effects of levofloxacin in the treatment of chronic periodontitis: a randomized, placebo-controlled clinical trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1101",24603565,"Delayed antibiotic prescribing strategies for respiratory tract infections in primary care: pragmatic, factorial, randomised controlled trial",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1102",24618401,"A prospective, randomised comparative study of weekly versus biweekly application of dehydrated human amnion/chorion membrane allograft in the management of diabetic foot ulcers",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1103",24636266,"Procalcitonin-guided antibiotic therapy in aspiration pneumonia and an assessment of the continuation of oral intake",2014,1,1,"","Drug-resistant bacteriuma, n (%) control vs PCT 7 (15) vs 6 (13) p = 0.77","5","8",""
"1104",24679865,"Pilot randomized, placebo controlled trial to investigate the effect of antibiotic prophylaxis on the rate of urinary tract infection in infants with prenatal hydronephrosis",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1105",24679882,"Retrograde intrarenal surgery monotherapy versus shock wave lithotripsy for stones 10 to 20 mm in preschool children: A prospective, randomized study",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1106",24777901,"Impact of implementation of a novel antimicrobial stewardship tool on antibiotic use in nursing homes: A prospective cluster randomized control pilot study",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1107",24909499,"Tedizolid for 6 days versus linezolid for 10 days for acute bacterial skin and skin-structure infections (ESTABLISH-2): a randomised, double-blind, phase 3, non-inferiority trial",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1108",25005651,"Effect of postoperative antibiotic administration on postoperative infection following cholecystectomy for acute calculous cholecystitis: A randomized clinical trial",2014,NA,NA,NA,NA,NA,NA,NA
"1109",25091790,"De-escalation versus continuation of empirical antimicrobial treatment in severe sepsis: a multicenter non-blinded randomized noninferiority trial",2014,0,1,"Resistance during f/u not included","During ICU stay, superinfection episodes requiring antibiotics were identified in 16 (27 %) patients in the de-escalation group and six (11 %) patients in the continuation group (P = 0.03). This was related to the same bacteria in seven (44 %) of the 16 e","NA (deescalation)","NA (deescalation)","28"
"1110",25130289,"A randomized trial of cefozopran versus cefepime as empirical antibiotic treatment of febrile neutropenia in pediatric cancer patients",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1111",25130297,"A randomized controlled clinical trial of levofloxacin 750 mg versus 500 mg intravenous infusion in the treatment of community-acquired pneumonia",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1112",25263498,"Single-dose compared with multiple day antibiotic prophylaxis for cesarean section in low-resource settings, a randomized controlled, noninferiority trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1113",25294250,"Single-dose oritavancin versus 7-10 days of vancomycin in the treatment of gram-positive acute bacterial skin and skin structure infections: the SOLO II noninferiority study",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1114",25295709,"Procalcitonin algorithm in critically ill adults with undifferentiated infection or suspected sepsis. A randomized controlled trial",2014,1,1,"","Multiresistant organisms N (%) of total isolates through study PCT vs stdcare 45/324 (14) vs 32/355 (9) p= 0.09","9","11",""
"1115",25329226,"Weekly dalbavancin was noninferior to daily vancomycin for acute bacterial skin infection in adults",2014,0,0,"Study design (not RCT)","",NA,NA,NA
"1116",25331236,"Antibiotic prophylaxis for transrectal prostate biopsy: a comparison of one-day and five-day regimen",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1117",25345982,"Targeting of rifamycin SV to the colon for treatment of travelers' diarrhea: a randomized, double-blind, placebo-controlled phase 3 study",2014,0,1,"Resistance during f/u not included","",NA,NA,NA
"1118",25414157,"Six-week versus twelve-week antibiotic therapy for nonsurgically treated diabetic foot osteomyelitis: a multicenter open-label controlled randomized study",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1119",25433006,"Temocillin (6 g daily) in critically ill patients: Continuous infusion versus three times daily administration",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1120",25448332,"A randomized phase 2 study comparing two doses of delafloxacin with tigecycline in adults with complicated skin and skin-structure infections",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1121",25453872,"Randomized controlled trial of biofilm antimicrobial susceptibility testing in cystic fibrosis patients",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1122",25468170,"Antibiotic treatment for 6 weeks versus 12 weeks in patients with pyogenic vertebral osteomyelitis: an open-label, non-inferiority, randomised, controlled trial",2015,1,1,"","No acquisition of microbiological resistance was reported during follow-up.","6 weeks","12 weeks",""
"1123",25509895,"[Clinical efficacy of the antimicrobial drug furamag in nosocomial urinary tract infections]",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1124",25539586,"Ceftaroline fosamil versus ceftriaxone for the treatment of Asian patients with community-acquired pneumonia: A randomised, controlled, double-blind, phase 3, non-inferiority with nested superiority trial",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1125",25591488,"Utility of electrofusion for the femoral approach in vascular surgery: A randomized prospective study",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1126",25610505,"Quantitative culture of endotracheal aspirate and BAL fluid samples in the management of patients with ventilator-associated pneumonia: a randomized clinical trial",2014,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1127",25623589,"Randomized double blind placebo-controlled study to demonstrate that antibiotics are not needed in moderate acute exacerbations of COPD - The ABACOPD Study",2015,0,0,"Study design (not RCT)","",NA,NA,NA
"1128",25658564,"Postprescription review improves in-hospital antibiotic use: a multicenter randomized controlled trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1129",25681965,"Evaluation of duration of antibiotic therapy in neonatal bacterial meningitis: a randomized controlled trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1130",25682579,"The use of prophylactic antibiotics in treatment of fingertip amputation: A randomized prospective trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1131",25733331,"Perioperative Lung Protection Provided by High-Dose Ambroxol in Patients with Lung Cancer",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1132",25760346,"Antibiotic treatment of severe exacerbations of chronic obstructive pulmonary disease with procalcitonin: a randomized noninferiority trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1133",25785967,"Clindamycin versus trimethoprim-sulfamethoxazole for uncomplicated skin infections",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1134",25803626,"Perioperative synbiotics decrease postoperative complications in periampullary neoplasms: a randomized, double-blind clinical trial",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1135",25835116,"The efficacy and the immunomodulatory effect of rifaximin in prophylaxis of spontaneous bacterial peritonitis in cirrhotic Egyptian patients",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1136",25841891,"Safety and efficacy of alternative antibiotic regimens compared with 7 day injectable procaine benzylpenicillin and gentamicin for outpatient treatment of neonates and young infants with clinical signs of severe infection when referral is not possible: A randomised, open-label, equivalence trial",2015,NA,NA,NA,NA,NA,NA,NA
"1137",25842221,"Simplified antibiotic regimens compared with injectable procaine benzylpenicillin plus gentamicin for treatment of neonates and young infants with clinical signs of possible serious bacterial infection when referral is not possible: A randomised, open-label, equivalence trial",2015,NA,NA,NA,NA,NA,NA,NA
"1138",25851059,"Efficacy of 1% acetic acid in the treatment of chronic wounds infected with Pseudomonas aeruginosa: prospective randomised controlled clinical trial",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1139",25888180,"A cluster randomized trial for the implementation of an antibiotic checklist based on validated quality indicators: the AB-checklist",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1140",25912854,"Antibiotic Treatment and Surgery for Acute Hematogenous Calcaneal Osteomyelitis of Childhood",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1141",25934044,"Procalcitonin and pyuria-based algorithm reduces antibiotic use in urinary tract infections: a randomized controlled trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1142",25959848,"Improved sepsis bundles in the treatment of septic shock: a prospective clinical study",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1143",25992746,"Trial of short-course antimicrobial therapy for intraabdominal infection",2015,1,1,"","No significant between-group differences were found with respect to the rates of extraabdominal infection, Clostridium difficile infection, or secondary infections with resistant pathogens (A resistant pathogen was defined as methicillin-resistant Staphyl","4","8",""
"1144",26085531,"Appropriateness of Twenty-four-Hour Antibiotic Prophylaxis After Spinal Surgery in Which a Drain Is Utilized: A Prospective Randomized Study",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1145",26114347,"The efficacy of prophylactic antibiotics in the management of children with kerosene-associated pneumonitis: A double-blind randomised controlled trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1146",26125945,"Orally Administered Trimethoprim-Sulfamethoxazole and Metronidazole as Infection Prophylaxis in Elective Colorectal Surgery",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1147",26197846,"Randomized Trial of Rapid Multiplex Polymerase Chain Reaction-Based Blood Culture Identification and Susceptibility Testing",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1148",26248828,"Can We Stop Antibiotic Therapy When Signs and Symptoms Have Resolved in Diabetic Foot Infection Patients?",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1149",26262568,"Comparison of Tension-Band Wiring With the Cable Pin System in Patella Fractures: A Randomized Prospective Study",2015,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1150",26269563,"DNA Methylation Predicts Progression of Human Gastric Lesions",2015,0,0,"Study design (not RCT)","",NA,NA,NA
"1151",26270469,"Efficacy of sodium hypochlorite (bleach) baths to reduce Staphylococcus aureus colonization in childhood onset moderate-to-severe eczema: A randomized, placebo-controlled cross-over trial",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1152",26288467,"Comparative evaluation of 2 g single dose versus conventional dose azithromycin in uncomplicated skin and skin structure infections",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1153",26340658,"Eradication therapy against pseudomonas aeruginosa in non-cystic fibrosis bronchiectasis",2015,1,1,"","Tobramycin-resistant P. aeruginosa was not detected in sputum during the study. However, other opportunistic organisms were identified in sputum cultures of 2 patients in the tobramycin group [Stenotrophomonas maltophilia (1 patient); Achromobacter xyloso",NA,NA,NA
"1154",26349552,"Combination of Vancomycin and β-Lactam Therapy for Methicillin-Resistant Staphylococcus aureus Bacteremia: A Pilot Multicenter Randomized Controlled Trial",2016,NA,NA,NA,NA,NA,NA,NA
"1155",26541522,"Amoxicillin for clinically unsuspected pneumonia in primary care: Subgroup analysis",2016,0,0,"Study design (not RCT)","",NA,NA,NA
"1156",26611777,"A Randomized Clinical Trial of Single-Dose Versus Weekly Dalbavancin for Treatment of Acute Bacterial Skin and Skin Structure Infection",2016,1,1,"","Based on follow-up cultures taken after baseline, no patient developed a resistant organism on therapy.",NA,NA,NA
"1157",26612093,"A clinical evaluation of efficacy and safety of cefepime monotherapy versus piperacillin-tazobactam in patients of paediatric age group with febrile neutropenia in a tertiary care centre of north India",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1158",26637580,"Long-term postoperative azithromycin in patients with chronic rhinosinusitis: A randomized clinical trial",2015,0,1,"Resistance during f/u not included","","","",""
"1159",26695667,"[Value of serum procalcitonin for the guidance of antibiotic therapy in children with lower respiratory tract infection]",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1160",26698878,"Ibuprofen versus fosfomycin for uncomplicated urinary tract infection in women: Randomised controlled trial",2015,0,1,"Resistance during f/u not included","",NA,NA,NA
"1161",26704020,"Azithromycin for episodes with asthma-like symptoms in young children aged 1-3 years: a randomised, double-blind, placebo-controlled trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1162",26719947,"Prescription Strategies in Acute Uncomplicated Respiratory Infections: A Randomized Clinical Trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1163",26732807,"Syndrome Evaluation System (SES) versus Blood Culture (BACTEC) in the Diagnosis and Management of Neonatal Sepsis--A Randomized Controlled Trial",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1164",26847071,"Role of oral Minocycline in acute encephalitis syndrome in India - a randomized controlled trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1165",26852040,"A phase 3, multi-center, multinational, randomized, double-blind, placebo-controlled study to evaluate the efficacy and safety of levofloxacin inhalation solution (APT-1026) in stable cystic fibrosis patients",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1166",26920994,"Patients with Complicated Intra-Abdominal Infection Presenting with Sepsis Do Not Require Longer Duration of Antimicrobial Therapy",2016,1,1,"","Surgical site infection with resistant pathogen, n (%) 0 vs 2 (p5.2), Recurrent intra-abdominal infection with resistant pathogen, n (%) 1 vs 0 p 0.4","4","10",""
"1167",26945767,"Efficacy of postoperative antibiotic injection in and around ventriculoperitoneal shunt in reduction of shunt infection: A randomized controlled trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1168",26947523,"Efficacy and safety of procalcitonin guidance in reducing the duration of antibiotic treatment in critically ill patients: a randomised, controlled, open-label trial",2016,0,1,"Resistance during f/u not included","we did not collect data for antibiotic resistance and, therefore, we are unaware of the appropriateness of the empirical antibiotic strategy",NA,NA,NA
"1169",26953758,"Percutaneously drained intra-abdominal infections do not require longer duration of antimicrobial therapy",2016,1,1,"","Recurrent intra-abdominal infection with resistant pathogen control 3(5.3%) vs experiment 0 p = 0.084","4.3","6.8","30 days or 1 year (if implant left in place)"
"1170",26968881,"Metronidazole in conjunction with penicillin neither prevents recurrence nor enhances recovery from peritonsillar abscess when compared with penicillin alone: a prospective, double-blind, randomized, placebo-controlled trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1171",27025829,"A Randomized Trial of Clindamycin Versus Trimethoprim-sulfamethoxazole for Uncomplicated Wound Infection",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1172",27029689,"Oral azithromycin for acute episodic airway symptoms in young children",2016,0,0,"Study design (not RCT)","",NA,NA,NA
"1173",27055257,"A New Approach to the Treatment of Uncomplicated Cystitis: Results of a Randomized Placebo-Controlled Clinical Trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1174",27062334,"Prospective open-label randomized comparative, non-inferiority study of two initial antibiotic strategies for patients with nursing- and healthcare-associated pneumonia: Guideline-concordant therapy versus empiric therapy",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1175",27078119,"A Multicenter, Randomized, Observer-blinded, Active-controlled Study Evaluating the Safety and Effectiveness of Ceftaroline Compared With Ceftriaxone Plus Vancomycin in Pediatric Patients With Complicated Community-acquired Bacterial Pneumonia",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1176",27093162,"A Randomized, Prospective Study of Pediatric Patients With Community-acquired Pneumonia Treated With Ceftaroline Versus Ceftriaxone",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1177",27106640,"Are Prophylactic Postoperative Antibiotics Necessary for Immediate Breast Reconstruction? Results of a Prospective Randomized Clinical Trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1178",27289276,"Anatomic Double-Bundle Anterior Cruciate Ligament Reconstruction With a Hamstring Tendon Autograft and Fresh-Frozen Allograft: A Prospective, Randomized, and Controlled Study",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1179",27313268,"Ceftazidime-avibactam Versus Doripenem for the Treatment of Complicated Urinary Tract Infections, Including Acute Pyelonephritis: RECAPTURE, a Phase 3 Randomized Trial Program",2016,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1180",27382274,"Point-of-care procalcitonin test to reduce antibiotic exposure in patients hospitalized with acute exacerbation of COPD",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1181",27455166,"Duration of Antibiotic Treatment in Community-Acquired Pneumonia: A Multicenter Randomized Clinical Trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1182",27492064,"Unblinded randomized control trial on prophylactic antibiotic use in gustilo II open tibia fractures at Kenyatta National Hospital, Kenya",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1183",27524103,"Short- versus long-duration levofloxacin plus rifampicin for acute staphylococcal prosthetic joint infection managed with implant retention: a randomised clinical trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1184",27525699,"Comparison of cotrimoxazole vs. second-generation cephalosporins for prevention of urinary tract infections in children",2016,1,1,"","At the end of the SXT courses 38 (92.6 %) isolates were resistant to SXT, while at the end of the 2GC courses 49 (92.4 %) isolates were resistant to 2GC. Based on comparison of the susceptibility patterns of microorganisms isolated before (urine culture c",NA,NA,NA
"1185",27528177,"Repeat Treatment With Rifaximin Is Safe and Effective in Patients With Diarrhea-Predominant Irritable Bowel Syndrome",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1186",27600290,"The effect of diabetes mellitus on outcomes of patients with nosocomial pneumonia caused by methicillin-resistant Staphylococcus aureus: Data from a prospective double-blind clinical trial comparing treatment with linezolid versus vancomycin",2016,0,0,"Study design (not RCT)","",NA,NA,NA
"1187",27653939,"Azithromycin for acute exacerbations of asthma: The AZALEA randomized clinical trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1188",27676117,"Miniperc vs Shockwave Lithotripsy for Average-Sized, Radiopaque Lower Pole Calculi: A Prospective Randomized Study",2021,NA,NA,NA,NA,NA,NA,NA
"1189",27759623,"Duration of Antimicrobial Prophylaxis in Patients Undergoing Major Hepatectomy With Extrahepatic Bile Duct Resection: A Randomized Controlled Trial",2018,0,1,"Resistance during f/u not included","",NA,NA,NA
"1190",27789268,"Prevalence of Surgical Site Infections Following Orthognathic Surgery: A Double-Blind, Randomized Controlled Trial on a 3-Day Versus 1-Day Postoperative Antibiotic Regimen",2017,0,1,"Resistance during f/u not included","",NA,NA,NA
"1191",27893820,"Azithromycin vs. Placebo for the Clinical Outcome in Campylobacter concisus Diarrhoea in Adults: A Randomized, Double-Blinded, Placebo-Controlled Clinical Trial",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
"1192",27918382,"Conventional Versus Prolonged Infusion of Meropenem in Neonates With Gram-negative Late-onset Sepsis: A Randomized Controlled Trial",2017,0,0,"Intervention (not antibiotics or duration)","",NA,NA,NA
"1193",27974169,"Antibiotics-First Versus Surgery for Appendicitis: A US Pilot Randomized Controlled Trial Allowing Outpatient Antibiotic Management",2017,0,1,"Resistance during f/u not included","",NA,NA,NA
"1194",27987397,"Prophylactic versus clinically-driven antibiotics in comatose survivors of out-of-hospital cardiac arrest-A randomized pilot study",2017,0,1,"Resistance during f/u not included","",NA,NA,NA
"1195",28002709,"Shortened Antimicrobial Treatment for Acute Otitis Media in Young Children",2016,1,1,"","Colonization with susceptible strains and nonsusceptible strains of Haemophilus influenzae remained relatively unchanged throughout. These findings were also reflected in both the simple and conditional odds ratios — the latter of which may serve as a mea","5","10","14"
"1196",28076247,"5-Day versus 10-day course of fluoroquinolones in outpatient males with a urinary tract infection (UTI)",2016,0,1,"Resistance during f/u not included","",NA,NA,NA
